"conflict_id","location","side_a","side_a_id","side_a_2nd","side_b","side_b_id","side_b_2nd","territory_name","year","intensity_level","cumulative_intensity","type_of_conflict","start_date","start_date2","start_prec2","ep_end","ep_end_date"
11342,India,Government of India,141,"",GNLA,"1163","",Garoland,2012,1,0,3,"1997-05-29","2012-11-15",1,1,"2012-12-21"
11342,India,Government of India,141,"",GNLA,"1163","",Garoland,2014,1,0,3,"1997-05-29","2014-07-01",1,1,"2014-11-27"
11343,"Egypt, Israel",Government of Egypt,117,"",Government of Israel,"121","",Suez/Sinai,1967,2,1,2,"1967-06-05","1967-06-05",1,1,"1967-06-10"
11343,"Egypt, Israel",Government of Egypt,117,"",Government of Israel,"121","",Suez/Sinai,1969,1,1,2,"1967-06-05","1969-03-06",1,0,""
11343,"Egypt, Israel",Government of Egypt,117,"",Government of Israel,"121","",Suez/Sinai,1970,1,1,2,"1967-06-05","1969-03-06",1,1,"1970-08-07"
11343,"Egypt, Israel",Government of Egypt,117,"",Government of Israel,"121","",Suez/Sinai,1973,2,1,2,"1967-06-05","1973-10-06",1,1,"1973-10-24"
11344,Sudan,Government of Sudan,112,"",Republic of South Sudan,"1129","",Abyei,2011,1,0,3,"2011-05-01","2011-05-19",1,1,"2011-06-15"
11345,South Sudan,Government of South Sudan,113,"","SSDM/A, SSLM/A","1108, 1124","","",2011,1,0,3,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,"",SSLM/A,"1124","","",2012,1,0,3,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,"","SPLM/A - IO, SSDM/A - Cobra Faction","3563, 4226","","",2013,1,1,3,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,"4226","","",2014,2,1,4,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,"4226","","",2015,1,1,4,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,"",SPLM/A - IO,"4226","","",2016,1,1,3,"2011-08-20","2011-08-20",2,0,""
11345,South Sudan,Government of South Sudan,113,"",SPLM/A - IO,"4226","","",2017,1,1,3,"2011-08-20","2011-08-20",2,0,""
